chr start end
chr1 43876000 43880000
chr1 43911200 43915200
chr1 43955000 43959000
chr1 44025450 44029450
chr1 44386100 44390100
chr1 44619600 44623600
chr1 44623600 44627600
chr1 44668500 44672500
chr1 44756700 44760700
chr1 45413100 45417100
chr1 45642800 45646800
chr1 45882300 45886300
chr1 45914700 45918700
chr1 45928200 45932200
chr1 45985200 45989200
chr1 46114100 46118100
chr1 46911500 46915500
chr1 46918450 46922450
chr1 46940600 46944600
chr1 46944150 46948150
chr1 46959600 46963600
chr1 46971200 46975200
chr1 47131350 47135350
chr1 48706500 48710500
chr1 51207400 51211400
chr1 51320900 51324900
chr1 51327800 51331800
chr1 51484700 51488700
chr1 51541500 51545500
chr1 51564250 51568250
chr1 51585300 51589300
chr1 51591750 51595750
chr1 51621700 51625700
chr1 51627900 51631900
chr1 51691550 51695550
chr1 51734850 51738850
chr1 51743800 51747800
chr1 51813700 51817700
chr1 51850700 51854700
chr1 51858900 51862900
chr1 51890400 51894400
chr1 51900300 51904300
chr1 51907800 51911800
chr1 51933900 51937900
chr1 51940650 51944650
chr1 51961750 51965750
chr1 51986200 51990200
chr1 52106800 52110800
chr1 52134950 52138950
chr1 52181900 52185900
chr1 52205550 52209550
chr1 52579500 52583500
chr1 52608800 52612800
chr1 52633300 52637300
chr1 52652950 52656950
chr1 52711500 52715500
chr1 52919150 52923150
chr1 53237600 53241600
chr1 53347900 53351900
chr1 53637000 53641000
chr1 53878200 53882200
chr1 53894150 53898150
chr1 53906600 53910600
chr1 53921750 53925750
chr1 53949500 53953500
chr1 54038200 54042200
chr1 54640700 54644700
chr1 54662100 54666100
chr1 54667400 54671400
chr1 54731900 54735900
chr1 54871500 54875500
chr1 54905200 54909200
chr1 54964100 54968100
chr1 54985350 54989350
chr1 55078200 55082200
chr1 55112700 55116700
chr1 55146300 55150300
chr1 55158450 55162450
chr1 55163700 55167700
chr1 55217900 55221900
chr1 55226900 55230900
chr1 55233100 55237100
chr1 55242150 55246150
chr1 55245500 55249500
chr1 55250300 55254300
chr1 55254100 55258100
chr1 55257000 55261000
chr1 55260700 55264700
chr1 55266750 55270750
chr1 55270400 55274400
chr1 55334100 55338100
chr1 56753200 56757200
chr1 56899150 56903150
chr1 56985000 56989000
chr1 56993800 56997800
chr1 57006000 57010000
chr1 57336100 57340100
chr1 57350150 57354150
chr1 57356400 57360400
chr1 57385200 57389200
chr1 57389500 57393500
chr1 57399350 57403350
chr1 57424500 57428500
chr1 57475900 57479900
chr1 57493900 57497900
chr1 57504500 57508500
chr1 57526800 57530800
chr1 57533750 57537750
chr1 57582500 57586500
chr1 57619900 57623900
chr1 57665600 57669600
chr1 57667300 57671300
chr1 57912800 57916800
chr1 57940800 57944800
chr1 57945700 57949700
chr1 58043850 58047850
chr1 58199300 58203300
chr1 58243700 58247700
chr1 58249600 58253600
chr1 58286000 58290000
chr1 58295800 58299800
chr1 58345400 58349400
chr1 58358900 58362900
chr1 58388200 58392200
chr1 58400850 58404850
chr1 58406300 58410300
chr1 58422900 58426900
chr1 58454000 58458000
chr1 58475400 58479400
chr1 58722600 58726600
chr1 58779500 58783500
chr1 58824700 58828700
chr1 58944400 58948400
chr1 58971600 58975600
chr1 59007500 59011500
chr1 59012500 59016500
chr1 59271500 59275500
chr1 59324200 59328200
chr1 59371550 59375550
chr1 59376850 59380850
chr1 59396000 59400000
chr1 59416100 59420100
chr1 59422600 59426600
chr1 59433000 59437000
chr1 59438650 59442650
chr1 59448400 59452400
chr1 59451800 59455800
chr1 59471500 59475500
chr1 59475000 59479000
chr1 59478100 59482100
chr1 59483100 59487100
chr1 59486700 59490700
chr1 59493650 59497650
chr1 59501100 59505100
chr1 59512850 59516850
chr1 59520600 59524600
chr1 59526600 59530600
chr1 59529500 59533500
chr1 59557950 59561950
chr1 59563200 59567200
chr1 59567000 59571000
chr1 59577300 59581300
chr1 59629200 59633200
chr1 59635300 59639300
chr1 59639750 59643750
chr1 59647400 59651400
chr1 59669600 59673600
chr1 59714500 59718500
chr1 59719100 59723100
chr1 59748700 59752700
chr1 59780800 59784800
chr1 59783700 59787700
chr1 59787400 59791400
chr1 59962700 59966700
chr1 59980350 59984350
chr1 59997650 60001650
chr1 60024400 60028400
chr1 60073200 60077200
chr1 60132300 60136300
chr1 60481400 60485400
chr1 60487000 60491000
chr1 60598200 60602200
chr1 60808900 60812900
chr1 60887700 60891700
chr1 60892200 60896200
chr1 60894500 60898500
chr1 60900300 60904300
chr1 60905800 60909800
chr1 60910400 60914400
chr1 60912100 60916100
chr1 61071600 61075600
chr1 61151100 61155100
chr1 61196000 61200000
chr1 61433300 61437300
chr1 61728500 61732500
chr1 62217800 62221800
chr1 62225100 62229100
chr1 62228750 62232750
chr1 62442800 62446800
chr1 62635650 62639650
chr1 62694150 62698150
chr1 62709400 62713400
chr1 62723900 62727900
chr1 62758800 62762800
chr1 62764000 62768000
chr1 62769500 62773500
chr1 62773350 62777350
chr1 62778400 62782400
chr1 62786200 62790200
chr1 62797150 62801150
chr1 62823100 62827100
chr1 62826200 62830200
chr1 62829300 62833300
chr1 62851150 62855150
chr1 62896100 62900100
chr1 62954700 62958700
chr1 62959500 62963500
chr1 62995500 62999500
chr1 63011700 63015700
chr1 63096700 63100700
chr1 63125600 63129600
chr1 63136600 63140600
chr1 63142200 63146200
chr1 63162800 63166800
chr1 63237750 63241750
chr1 63249100 63253100
chr1 63253000 63257000
chr1 63268300 63272300
chr1 63283150 63287150
chr1 63308300 63312300
chr1 63367000 63371000
chr1 63476400 63480400
chr1 63484900 63488900
chr1 63503200 63507200
chr1 63712600 63716600
chr1 63989850 63993850
chr1 64039050 64043050
chr1 64048700 64052700
chr1 64084300 64088300
chr1 64111600 64115600
chr1 64132700 64136700
chr1 64142400 64146400
chr1 64151500 64155500
chr1 64162650 64166650
chr1 64238650 64242650
chr1 64340700 64344700
chr1 64344700 64348700
chr1 64354850 64358850
chr1 64382800 64386800
chr1 64460600 64464600
chr1 64623350 64627350
chr1 64668250 64672250
chr1 64697700 64701700
chr1 64703900 64707900
chr1 64760000 64764000
chr1 64775200 64779200
chr1 64798200 64802200
chr1 64848600 64852600
chr1 64920800 64924800
chr1 64929800 64933800
chr1 64962350 64966350
chr1 65020800 65024800
chr1 65023100 65027100
chr1 65057500 65061500
chr1 65085500 65089500
chr1 65137500 65141500
chr1 65162800 65166800
chr1 65182300 65186300
chr1 65217200 65221200
chr1 65772200 65776200
chr1 66738600 66742600
chr1 67006900 67010900
chr1 67032300 67036300
chr1 67063600 67067600
chr1 67473400 67477400
chr1 68379000 68383000
chr1 69421600 69425600
chr1 71080450 71084450
chr1 71144050 71148050
chr1 71289700 71293700
chr1 71552000 71556000
chr1 71595300 71599300
chr1 71613850 71617850
chr1 71655000 71659000
chr1 71680100 71684100
chr1 71685600 71689600
chr1 71701550 71705550
chr1 71717600 71721600
chr1 71736800 71740800
chr1 71748200 71752200
chr1 71784750 71788750
chr1 72083400 72087400
chr1 72148000 72152000
chr1 72166100 72170100
chr1 72208900 72212900
chr1 72212800 72216800
chr1 72217300 72221300
chr1 72223700 72227700
chr1 72229900 72233900
chr1 72241700 72245700
chr1 72245300 72249300
chr1 72250400 72254400
chr1 72265000 72269000
chr1 72273400 72277400
chr1 72308700 72312700
chr1 72324000 72328000
chr1 72422500 72426500
chr1 72535500 72539500
chr1 72550100 72554100
chr1 72622600 72626600
chr1 72632100 72636100
chr1 72646300 72650300
chr1 72680300 72684300
chr1 72717600 72721600
chr1 72770800 72774800
chr1 72777800 72781800
chr1 72809400 72813400
chr1 72824200 72828200
chr1 72835900 72839900
chr1 72842000 72846000
chr1 72850550 72854550
chr1 72858150 72862150
chr1 72865800 72869800
chr1 72873550 72877550
chr1 72877400 72881400
chr1 72884100 72888100
chr1 72891900 72895900
chr1 72898900 72902900
chr1 72903650 72907650
chr1 72908150 72912150
chr1 72912000 72916000
chr1 72925100 72929100
chr1 73006600 73010600
chr1 73014100 73018100
chr1 73081300 73085300
chr1 73133200 73137200
chr1 73170300 73174300
chr1 73185300 73189300
chr1 73408100 73412100
chr1 73434700 73438700
chr1 73570500 73574500
chr1 73713100 73717100
chr1 73905900 73909900
chr1 73950800 73954800
chr1 73977600 73981600
chr1 73992200 73996200
chr1 73998950 74002950
chr1 74007000 74011000
chr1 74011400 74015400
chr1 74073000 74077000
chr1 74075800 74079800
chr1 74088100 74092100
chr1 74104900 74108900
chr1 74129000 74133000
chr1 74135900 74139900
chr1 74138400 74142400
chr1 74149800 74153800
chr1 74153400 74157400
chr1 74158300 74162300
chr1 74173900 74177900
chr1 74224500 74228500
chr1 74252300 74256300
chr1 74256300 74260300
chr1 74289250 74293250
chr1 74302850 74306850
chr1 74342400 74346400
chr1 74344900 74348900
chr1 74352100 74356100
chr1 74380900 74384900
chr1 74389800 74393800
chr1 74396600 74400600
chr1 74426400 74430400
chr1 74446550 74450550
chr1 74459900 74463900
chr1 74615900 74619900
chr1 74654700 74658700
chr1 74798500 74802500
chr1 74868750 74872750
chr1 74875300 74879300
chr1 74973500 74977500
chr1 75015900 75019900
chr1 75023600 75027600
chr1 75060800 75064800
chr1 75071600 75075600
chr1 75074800 75078800
chr1 75078500 75082500
chr1 75208600 75212600
chr1 75210000 75214000
chr1 75224400 75228400
chr1 75239600 75243600
chr1 75288100 75292100
chr1 75335000 75339000
chr1 75348500 75352500
chr1 75364400 75368400
chr1 75395700 75399700
chr1 75408350 75412350
chr1 75437800 75441800
chr1 75440700 75444700
chr1 75461800 75465800
chr1 75470200 75474200
chr1 75494600 75498600
chr1 75524800 75528800
chr1 75547900 75551900
chr1 75577600 75581600
chr1 75583600 75587600
chr1 75587100 75591100
chr1 75596500 75600500
chr1 75606000 75610000
chr1 75656750 75660750
chr1 75662550 75666550
chr1 75699550 75703550
chr1 75710200 75714200
chr1 75798400 75802400
chr1 75841300 75845300
chr1 75858000 75862000
chr1 75882500 75886500
chr1 75913800 75917800
chr1 75931900 75935900
chr1 76024900 76028900
chr1 76031000 76035000
chr1 76034300 76038300
chr1 76071900 76075900
chr1 77368850 77372850
chr1 77431400 77435400
chr1 77435600 77439600
chr1 77441050 77445050
chr1 77446200 77450200
chr1 77454000 77458000
chr1 77457800 77461800
chr1 77460600 77464600
chr1 77465800 77469800
chr1 77469200 77473200
chr1 77484900 77488900
chr1 77489300 77493300
chr1 77494400 77498400
chr1 77499400 77503400
chr1 77516500 77520500
chr1 77624600 77628600
chr1 77942000 77946000
chr1 78114100 78118100
chr1 78134650 78138650
chr1 78152200 78156200
chr1 78162300 78166300
chr1 78196300 78200300
chr1 78349350 78353350
chr1 78382600 78386600
chr1 78407100 78411100
chr1 78415400 78419400
chr1 78446400 78450400
chr1 78594500 78598500
chr1 78604950 78608950
chr1 78609400 78613400
chr1 78625800 78629800
chr1 78643800 78647800
chr1 79373400 79377400
chr1 79445400 79449400
chr1 79576500 79580500
chr1 79677400 79681400
chr1 79869400 79873400
chr1 80230850 80234850
chr1 80234400 80238400
chr1 80309500 80313500
chr1 80379250 80383250
chr1 80398200 80402200
chr1 81604000 81608000
chr1 82355100 82359100
chr1 82821350 82825350
chr1 82829100 82833100
chr1 82838100 82842100
chr1 82848600 82852600
chr1 82850600 82854600
chr1 82860550 82864550
chr1 82943900 82947900
chr1 83529900 83533900
chr1 83839700 83843700
chr1 84172100 84176100
chr1 84177550 84181550
chr1 84212500 84216500
chr1 84221100 84225100
chr1 84274800 84278800
chr1 84380300 84384300
chr1 84400750 84404750
chr1 84418200 84422200
chr1 84553900 84557900
chr1 84611100 84615100
chr1 84617800 84621800
chr1 84625300 84629300
chr1 84633200 84637200
chr1 84704600 84708600
chr1 84787400 84791400
chr1 84830400 84834400
chr1 84839500 84843500
chr1 84853000 84857000
chr1 84855600 84859600
chr1 84860100 84864100
chr1 84867250 84871250
chr1 84876900 84880900
chr1 84894800 84898800
chr1 84919600 84923600
chr1 85299800 85303800
chr1 87653300 87657300
chr1 87732700 87736700
chr1 87747300 87751300
chr1 87782100 87786100
chr1 87792950 87796950
chr1 87802900 87806900
chr1 87816400 87820400
chr1 87827700 87831700
chr1 87901550 87905550
chr1 87927000 87931000
chr1 87933850 87937850
chr1 88076400 88080400
chr1 88082450 88086450
chr1 88096200 88100200
chr1 88109100 88113100
chr1 88113000 88117000
chr1 88129900 88133900
chr1 88132500 88136500
chr1 88145300 88149300
chr1 88152400 88156400
chr1 88155400 88159400
chr1 88163900 88167900
chr1 88169600 88173600
chr1 88172400 88176400
chr1 88180600 88184600
chr1 88188950 88192950
chr1 88202150 88206150
chr1 88230800 88234800
chr1 88244350 88248350
chr1 88311250 88315250
chr1 88316500 88320500
chr1 88333900 88337900
chr1 88343500 88347500
chr1 88346300 88350300
chr1 88376700 88380700
chr1 88389800 88393800
chr1 88394000 88398000
chr1 88402700 88406700
chr1 88404400 88408400
chr1 88445050 88449050
chr1 88457600 88461600
chr1 88528400 88532400
chr1 88543100 88547100
chr1 88548200 88552200
chr1 88614050 88618050
chr1 88645000 88649000
chr1 88647600 88651600
chr1 88652900 88656900
chr1 88753500 88757500
chr1 88930700 88934700
chr1 88961800 88965800
chr1 89064700 89068700
chr1 89070000 89074000
chr1 89103900 89107900
chr1 89127500 89131500
chr1 89132500 89136500
chr1 89145650 89149650
chr1 89152550 89156550
chr1 89166900 89170900
chr1 89187300 89191300
chr1 89191650 89195650
chr1 89195400 89199400
chr1 89203850 89207850
chr1 89208200 89212200
chr1 89225700 89229700
chr1 89242450 89246450
chr1 89272000 89276000
chr1 89275700 89279700
chr1 89383600 89387600
chr1 89399300 89403300
chr1 89436900 89440900
chr1 89531700 89535700
chr1 89535200 89539200
chr1 89543800 89547800
chr1 89554000 89558000
chr1 89581900 89585900
chr1 89616700 89620700
chr1 89623600 89627600
chr1 90086500 90090500
chr1 90151800 90155800
chr1 90157500 90161500
chr1 90223200 90227200
chr1 90327500 90331500
chr1 90342200 90346200
chr1 90348700 90352700
chr1 90359900 90363900
chr1 90376500 90380500
chr1 90385100 90389100
chr1 90471100 90475100
chr1 90478800 90482800
chr1 90498100 90502100
chr1 90534800 90538800
chr1 90541300 90545300
chr1 90550200 90554200
chr1 90559800 90563800
chr1 90563700 90567700
chr1 90569700 90573700
chr1 90573300 90577300
chr1 90586500 90590500
chr1 90591300 90595300
chr1 90606800 90610800
chr1 90622100 90626100
chr1 90640200 90644200
chr1 90645300 90649300
chr1 90668950 90672950
chr1 90674400 90678400
chr1 90692200 90696200
chr1 90695900 90699900
chr1 90702600 90706600
chr1 90708550 90712550
chr1 90733500 90737500
chr1 90760800 90764800
chr1 90817800 90821800
chr1 90844700 90848700
chr1 90851400 90855400
chr1 90855800 90859800
chr1 90890500 90894500
chr1 90918500 90922500
chr1 90924200 90928200
chr1 90929350 90933350
chr1 90968900 90972900
chr1 90972100 90976100
chr1 90976700 90980700
chr1 90979000 90983000
chr1 90983700 90987700
chr1 91000600 91004600
chr1 91004300 91008300
chr1 91006600 91010600
chr1 91011500 91015500
chr1 91017500 91021500
chr1 91035700 91039700
chr1 91039900 91043900
chr1 91047100 91051100
chr1 91077700 91081700
chr1 91081000 91085000
chr1 91146500 91150500
chr1 91353500 91357500
chr1 91356900 91360900
chr1 91360400 91364400
chr1 91364700 91368700
chr1 91368200 91372200
chr1 91376450 91380450
chr1 91383650 91387650
chr1 91389200 91393200
chr1 91394450 91398450
chr1 91406200 91410200
chr1 91410000 91414000
chr1 91413600 91417600
chr1 91419100 91423100
chr1 91442500 91446500
chr1 91466100 91470100
chr1 91471600 91475600
chr1 91492200 91496200
chr1 91498200 91502200
chr1 91515000 91519000
chr1 91541400 91545400
chr1 91565800 91569800
chr1 91583150 91587150
chr1 91595700 91599700
chr1 91618900 91622900
chr1 91644900 91648900
chr1 91651000 91655000
chr1 91658200 91662200
chr1 91715000 91719000
chr1 91718800 91722800
chr1 91732800 91736800
chr1 91744100 91748100
chr1 91755900 91759900
chr1 91759000 91763000
chr1 91775100 91779100
chr1 91780000 91784000
chr1 91784500 91788500
chr1 91790300 91794300
chr1 91804000 91808000
chr1 91807200 91811200
chr1 91821700 91825700
chr1 91829350 91833350
chr1 91856800 91860800
chr1 91868900 91872900
chr1 91896800 91900800
chr1 91944600 91948600
chr1 91955100 91959100
chr1 92009000 92013000
chr1 92084200 92088200
chr1 92101750 92105750
chr1 92116400 92120400
chr1 92128900 92132900
chr1 92153200 92157200
chr1 92170800 92174800
chr1 92178400 92182400
chr1 92183000 92187000
chr1 92230000 92234000
chr1 92299900 92303900
chr1 92307100 92311100
chr1 92315600 92319600
chr1 92319300 92323300
chr1 92326000 92330000
chr1 92355500 92359500
