gname	gchrom	gstart	gend	log.FPRM	strand	status	echrom	estart	end	gid	eid	prob	log.p.value.correct
NM_026880	chr4	137869324	137882211	1.78136564004404	-	1	chr4	137869500	137871500	5263	21782	1	69.1642795614517
NM_139065	chr5	66407795	66489417	1.84363692629269	-	1	chr5	66434400	66436400	5509	25169	1	69.1642795614517
NM_145940	chr11	109434834	109472703	1.84557192120529	-	1	chr11	109520600	109522600	5522	2070	1	69.1642795614517
NM_019750	chr9	107482500	107486379	1.96991402277735	+	1	chr9	107495200	107497200	5993	31283	1	69.1642795614517
NM_025680	chr2	157563136	157717639	2.0832380757155	+	1	chr2	157643100	157645100	6435	17305	1	69.1642795614517
NM_019740	chr10	41905591	41996548	2.09992653415115	-	1	chr10	41967800	41969800	6497	652	1	69.1642795614517
NM_001081355	chr4	142697294	142802612	2.28050511450102	-	1	chr4	142862900	142864900	7156	22048	1	69.1642795614517
NM_001081099	chr4	134066913	134079837	2.31725693322591	+	1	chr4	134078500	134080500	7300	21530	1	69.1642795614517
NM_019663	chr9	62727883	62828686	2.33649364464523	-	1	chr9	62728100	62730100	7370	32439	1	69.1642795614517
NM_024451	chr5	139676623	139725749	2.53265659057295	+	1	chr5	139641550	139643550	8038	24236	1	69.1642795614517
NM_016968	chr16	91270013	91272184	2.55360836778278	+	1	chr16	91385200	91387200	8100	12464	1	69.1642795614517
NM_001042565	chr11	79052885	79056526	2.80851676086973	-	1	chr11	79079700	79081700	8843	4837	1	69.1642795614517
NM_001040691	chr5	114580443	114589330	2.83842327816133	+	1	chr5	114635100	114637100	8932	23408	1	69.1642795614517
NM_008212	chr3	130936341	130974955	3.0073643577837	-	1	chr3	131041300	131043300	9333	19584	1	69.1642795614517
NM_025673	chr15	12251250	12281022	3.50356442133812	+	1	chr15	12377850	12379850	10172	10013	1	69.1642795614517
NM_025846	chr7	121190295	121261295	3.5138145043447	-	1	chr7	121377300	121379300	10181	27526	1	69.1642795614517
NM_027231	chr15	78971796	78982197	3.52748048546111	+	1	chr15	78882000	78884000	10198	10796	1	69.1642795614517
NM_009091	chr10	79755175	79756858	5.50207420406206	+	1	chr10	79677600	79679600	11012	1361	1	69.1642795614517
NM_026968	chr2	157193329	157222498	2.3610709587131	+	1	chr2	157141100	157143100	7451	17266	0.932203389830508	69.100788451149
NM_009164	chr15	78730215	78742482	1.74149371691372	+	1	chr15	78772600	78774600	5098	10786	0.915254237288136	69.0070992314988
NM_146099	chr19	46673640	46731874	1.92198477777433	+	1	chr19	46622250	46624250	5796	16080	0.949152542372881	68.9280742624836
NM_030262	chr10	76722044	76732331	2.1632471607139	+	1	chr10	76728650	76730650	6728	1276	0.949152542372881	68.9280742624836
NM_026029	chr11	76033896	76057201	2.8744794752273	-	1	chr11	76091500	76093500	9024	4682	0.949152542372881	68.9280742624836
NM_025852	chr10	80003670	80024305	1.66094248450095	-	1	chr10	80059250	80061250	4783	1385	0.983050847457627	68.8139806974812
NM_144841	chr14	49277858	49282547	1.97668596355759	-	1	chr14	49335650	49337650	6018	9229	0.983050847457627	68.8139806974812
NM_027373	chr5	36235967	36346571	2.05260334772509	+	1	chr5	36123500	36125500	6314	24923	0.983050847457627	68.8139806974812
NM_026566	chr15	101114731	101121365	2.35353482837196	+	1	chr15	101027200	101029200	7421	9890	0.983050847457627	68.8139806974812
NM_134437	chr14	27852186	27920472	2.43451645625402	+	1	chr14	27906650	27908650	7717	9000	0.983050847457627	68.8139806974812
NM_028448	chr11	62338446	62352763	2.58215434533528	-	1	chr11	62238800	62240800	8203	4167	0.983050847457627	68.8139806974812
NM_144509	chr5	124566116	124568204	2.65669374682538	+	1	chr5	124625200	124627200	8441	23824	0.983050847457627	68.8139806974812
